year,b_rank,state,no_of_b,b_in_yr,percent
1969,1,CA,176483,1800103,9.8
1969,2,NY,156012,1800103,8.67
1969,3,TX,113471,1800103,6.3
1970,1,CA,181384,1868900,9.71
1970,2,NY,159546,1868900,8.54
1970,3,TX,118617,1868900,6.35
1971,1,CA,164914,1781774,9.26
1971,2,NY,142895,1781774,8.02
1971,3,TX,118098,1781774,6.63
1972,1,CA,153280,1749402,8.76
1972,2,NY,127479,1749402,7.29
1972,3,TX,111018,1749402,6.35
1973,1,NY,185048,1839736,10.06
1973,2,CA,149043,1839736,8.1
1973,3,MI,140370,1839736,7.63
1974,1,NY,185724,2029150,9.15
1974,2,IL,166532,2029150,8.21
1974,3,CA,156017,2029150,7.69
1975,1,NY,182998,2232406,8.2
1975,2,IL,166882,2232406,7.48
1975,3,CA,158803,2232406,7.11
1976,1,TX,227409,2463852,9.23
1976,2,NY,182047,2463852,7.39
1976,3,IL,167679,2463852,6.81
1977,1,NY,241450,2772206,8.71
1977,2,TX,234985,2772206,8.48
1977,3,IL,174441,2772206,6.29
1978,1,TX,242548,2865686,8.46
1978,2,NY,235024,2865686,8.2
1978,3,CA,178098,2865686,6.21
1979,1,TX,260562,3184421,8.18
1979,2,NY,236975,3184421,7.44
1979,3,CA,189622,3184421,5.95
1980,1,TX,279785,3310301,8.45
1980,2,NY,239994,3310301,7.25
1980,3,CA,201511,3310301,6.09
1981,1,TX,288363,3319054,8.69
1981,2,NY,243252,3319054,7.33
1981,3,CA,210455,3319054,6.34
1982,1,TX,303016,3376813,8.97
1982,2,NY,248145,3376813,7.35
1982,3,CA,214959,3376813,6.37
1983,1,TX,299650,3337883,8.98
1983,2,NY,249382,3337883,7.47
1983,3,CA,218048,3337883,6.53
1984,1,TX,303569,3360871,9.03
1984,2,NY,251863,3360871,7.49
1984,3,CA,223793,3360871,6.66
1985,1,CA,471155,3765064,12.51
1985,2,TX,312598,3765064,8.3
1985,3,NY,260289,3765064,6.91
1986,1,CA,482530,3760695,12.83
1986,2,TX,311006,3760695,8.27
1986,3,NY,264806,3760695,7.04
1987,1,CA,503655,3813216,13.21
1987,2,TX,305520,3813216,8.01
1987,3,NY,272836,3813216,7.16
1988,1,CA,533429,3913793,13.63
1988,2,TX,307563,3913793,7.86
1988,3,NY,281569,3913793,7.19
1989,1,CA,570365,4045693,14.1
1989,2,TX,312279,4045693,7.72
1989,3,NY,292493,4045693,7.23
1990,1,CA,613033,4162917,14.73
1990,2,TX,321041,4162917,7.71
1990,3,NY,298466,4162917,7.17
1991,1,CA,610385,4115342,14.83
1991,2,TX,322065,4115342,7.83
1991,3,NY,293518,4115342,7.13
1992,1,CA,602035,4069428,14.79
1992,2,TX,325104,4069428,7.99
1992,3,NY,289044,4069428,7.1
1993,1,CA,585564,4004523,14.62
1993,2,TX,326267,4004523,8.15
1993,3,NY,283328,4004523,7.08
1994,1,CA,568153,3956925,14.36
1994,2,TX,325521,3956925,8.23
1994,3,NY,279086,3956925,7.05
1995,1,CA,552322,3903012,14.15
1995,2,TX,326587,3903012,8.37
1995,3,NY,272296,3903012,6.98
1996,1,CA,539661,3894874,13.86
1996,2,TX,334197,3894874,8.58
1996,3,NY,265376,3894874,6.81
1997,1,CA,525242,3884329,13.52
1997,2,TX,337701,3884329,8.69
1997,3,NY,258538,3884329,6.66
1998,1,CA,522290,3945192,13.24
1998,2,TX,346101,3945192,8.77
1998,3,NY,259648,3945192,6.58
1999,1,CA,519102,3963465,13.1
1999,2,TX,352970,3963465,8.91
1999,3,NY,257138,3963465,6.49
2000,1,CA,532610,4063823,13.11
2000,2,TX,368019,4063823,9.06
2000,3,NY,259995,4063823,6.4
2001,1,CA,528539,4031531,13.11
2001,2,TX,370482,4031531,9.19
2001,3,NY,255029,4031531,6.33
2002,1,CA,530204,4027376,13.16
2002,2,TX,377750,4027376,9.38
2002,3,NY,252364,4027376,6.27
2003,1,CA,541835,4096092,13.23
2003,2,TX,383207,4096092,9.36
2003,3,NY,254922,4096092,6.22
2004,1,CA,545758,4118907,13.25
2004,2,TX,387337,4118907,9.4
2004,3,NY,251562,4118907,6.11
